pair_id,persona_id,comparison_id,normal_judgment,swapped_judgment,is_consistent,consistency_type
0_0,0,0,similar,x_higher_than_y,False,inconsistent
0_1,0,1,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_10,0,10,similar,x_higher_than_y,False,inconsistent
0_11,0,11,x_higher_than_y,similar,False,inconsistent
0_12,0,12,x_higher_than_y,x_higher_than_y,False,inconsistent
0_13,0,13,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_14,0,14,similar,x_higher_than_y,False,inconsistent
0_15,0,15,similar,x_higher_than_y,False,inconsistent
0_16,0,16,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_17,0,17,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_18,0,18,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_19,0,19,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_2,0,2,y_higher_than_x,y_higher_than_x,False,inconsistent
0_20,0,20,similar,x_higher_than_y,False,inconsistent
0_21,0,21,x_higher_than_y,similar,False,inconsistent
0_22,0,22,similar,x_higher_than_y,False,inconsistent
0_23,0,23,similar,similar,True,both_similar
0_24,0,24,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_25,0,25,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_26,0,26,x_higher_than_y,similar,False,inconsistent
0_27,0,27,y_higher_than_x,y_higher_than_x,False,inconsistent
0_28,0,28,y_higher_than_x,similar,False,inconsistent
0_29,0,29,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_3,0,3,x_higher_than_y,x_higher_than_y,False,inconsistent
0_30,0,30,similar,similar,True,both_similar
0_31,0,31,similar,similar,True,both_similar
0_32,0,32,x_higher_than_y,similar,False,inconsistent
0_33,0,33,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_34,0,34,similar,similar,True,both_similar
0_35,0,35,x_higher_than_y,similar,False,inconsistent
0_36,0,36,similar,x_higher_than_y,False,inconsistent
0_37,0,37,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_38,0,38,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_39,0,39,x_higher_than_y,x_higher_than_y,False,inconsistent
0_4,0,4,x_higher_than_y,similar,False,inconsistent
0_40,0,40,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_41,0,41,similar,x_higher_than_y,False,inconsistent
0_42,0,42,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_43,0,43,x_higher_than_y,x_higher_than_y,False,inconsistent
0_44,0,44,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_45,0,45,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_46,0,46,y_higher_than_x,x_higher_than_y,True,properly_flipped
0_47,0,47,y_higher_than_x,similar,False,inconsistent
0_48,0,48,x_higher_than_y,x_higher_than_y,False,inconsistent
0_49,0,49,similar,x_higher_than_y,False,inconsistent
0_5,0,5,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_6,0,6,x_higher_than_y,y_higher_than_x,True,properly_flipped
0_7,0,7,similar,x_higher_than_y,False,inconsistent
0_8,0,8,x_higher_than_y,similar,False,inconsistent
0_9,0,9,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_0,100,0,similar,x_higher_than_y,False,inconsistent
100_1,100,1,y_higher_than_x,y_higher_than_x,False,inconsistent
100_10,100,10,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_11,100,11,y_higher_than_x,similar,False,inconsistent
100_12,100,12,similar,similar,True,both_similar
100_13,100,13,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_14,100,14,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_15,100,15,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_16,100,16,similar,similar,True,both_similar
100_17,100,17,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_18,100,18,y_higher_than_x,similar,False,inconsistent
100_19,100,19,similar,similar,True,both_similar
100_2,100,2,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_20,100,20,x_higher_than_y,similar,False,inconsistent
100_21,100,21,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_22,100,22,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_23,100,23,y_higher_than_x,y_higher_than_x,False,inconsistent
100_24,100,24,similar,x_higher_than_y,False,inconsistent
100_25,100,25,x_higher_than_y,similar,False,inconsistent
100_26,100,26,similar,similar,True,both_similar
100_27,100,27,x_higher_than_y,similar,False,inconsistent
100_28,100,28,y_higher_than_x,x_higher_than_y,True,properly_flipped
100_29,100,29,similar,x_higher_than_y,False,inconsistent
100_3,100,3,similar,x_higher_than_y,False,inconsistent
100_30,100,30,x_higher_than_y,x_higher_than_y,False,inconsistent
100_31,100,31,x_higher_than_y,similar,False,inconsistent
100_32,100,32,x_higher_than_y,x_higher_than_y,False,inconsistent
100_33,100,33,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_34,100,34,similar,x_higher_than_y,False,inconsistent
100_35,100,35,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_36,100,36,x_higher_than_y,similar,False,inconsistent
100_37,100,37,similar,similar,True,both_similar
100_38,100,38,x_higher_than_y,similar,False,inconsistent
100_39,100,39,x_higher_than_y,y_higher_than_x,True,properly_flipped
100_4,100,4,similar,similar,True,both_similar
100_40,100,40,x_higher_than_y,x_higher_than_y,False,inconsistent
100_41,100,41,similar,x_higher_than_y,False,inconsistent
100_42,100,42,similar,x_higher_than_y,False,inconsistent
100_43,100,43,similar,x_higher_than_y,False,inconsistent
100_44,100,44,similar,y_higher_than_x,False,inconsistent
100_45,100,45,similar,similar,True,both_similar
100_46,100,46,y_higher_than_x,x_higher_than_y,True,properly_flipped
